2	1	5	4	5	5	3	3	0	1	1	7	1.0
1	1	5	5	5	5	3	5	2	1	1	7	1
2	1	3	5	1	5	2	3	1	2	3	7	1
2	5	1	2	6	5	1	4	2	3	1	7	1
2	5	1	2	6	3	1	4	2	3	1	7	1
1	1	6	4	8	5	3	2	0	1	1	7	1
1	5	2	3	9	4	1	3	1	2	3	7	1
1	3	3	4	3	5	1	1	0	2	3	7	1
1	1	6	3	8	5	3	3	0	2	3	7	1
1	1	7	4	8	4	3	2	0	2	3	7	1
1	5	2	4	9	5	1	1	0	2	3	7	1
2	2	2	3	2	5	1	2	0	1	1	5	1
2	1	3	6	6	2	2	4	2	1	1	7	1
2	1	5	3	5	5	3	4	0	2	1	7	1
1	4	6	3	5.1645569620253164	5	1	1	0	1	1	7	1.0
2	1	5	4	1	5	2	2	2	1	1	7	1
2	3	3	3	2	2	1	2	1	2	3	7	1
2	1	5	5	1	5	2	2	0	1	1	7	1.0
2	1	5	3	5	1	3	2	0	2	3	7	1
1	5	1	2	9	4.602564102564102	1	4	2	3	1	7	1
1	3	4	2	3	4	1	2	0	2	3	7	1
2	1	4	4	2	5	3	5	3	1	1	5	2
1	1	4	4	1	5	3	5	3	1	1	7	1
2	3	5	4	2	3	1	3	0	2	5	7	1
2	5	1	2	6	5	1	4	1	3	1	7	1
1	1	3	5	1	5	2	3	1	2	3	7	1
1	1	4	4	1	5	2	3	0	1	1	7	1
1	1	4	4	1	5	2	3	1	1	1	7	1
1	1	4	6	1	5.0	2	3	1	1	1	7	1
2	3	7	3	8	5	1	1	0	1	5	7	1
2	3	4	5	1	4	1	5	3	1	1	7	1
2	1	4	4	1	4	2	4	2	2	1	7	1
2	5	1	2	6	5	1	4	2	3	1	7	1
2	5	1	2	6	5	1	3	1	3	1	7	1
1	5	1	2	6	5	1	6	4	3	1	7	1
2	1	4	4	5	4.441860465116279	3	6	4	1	1	7	1
2	1	7	3	5	5	3	2	0	1	1	7	1
2	1	4	3	5	1	3	3	1	1	1	7	1
1	1	5	6	1	5	2	4	0	1	1	7	1
2	3	4	5	1	3	1	2	1	2	3	2	3
2	4	6	6	1	1	1	1	0	2	3	7	1
1	5	1	2	6	5	1	5	2	3	1	7	1
2	1	4	4	1	5	2	5	3	1	1	7	1
2	1	5	4	5	5	3	3	0	1	1	7	1
2	5	2	2	6	2	1	3	0	3	1	3	1
2	1	6	4	2	5	2	4	2	2	1	7	1
2	1	5	4	5	5	3	3	0	1	1	7	1
2	1	6	3	5	5.0	3	2	0	1	1	7	1
2	1	4	3	5	3	3	6	4	1	1	7	1.04
2	1	3	3	5	5	3	5	3	1	1	5	1
2	5	1	2	2	5	1	3	1	3	2	7	1
1	3	5	4	1	5	1	1	0	2	2	7	1
1	5	1	2	6	4.917808219178082	1	5	3	3	1	7	1
2	1	5	6	5	5	3	2	0	1	1	7	1.0
1	1	1	5	8	5	2	3	0	2	1	3	2
1	5	1	1	3	5	1	3.168831168831169	0	3	1	7	1
1	5	1	1	6	5	1	4	2	3	1	7	1
2	1	4	4	1	5	2	2	0	1	1	7	1
2	1	6	6	5	5	3	2	0	1	1	7	1
2	3	5	4	1	2	1	1	0	1	1	7	1
1	1	3	4	3	5	2	3	1	1	1	7	1
1	3	4	3	3	5	1	1	0	1	1	8	1
2	1	3	5	1	4	2	3	1	1	2	7	1
1	1	7	4	8	5	2	4	2	1	1	7	1
2	1	5	4	5	4.213333333333333	1	4	1	2	3	2	1.3376623376623376
1	5	1	2	6	5	1	5	3	3	1	5	1
1	5	1	2	6	5	1	5	3	3	1	7	1
2	1	4	4	5	4	3	4	2	1	1	2	3
1	5	1	1	6	5	1	3	0	3	1	7	1
2	1	6	5	1	5.0	2	2	0	1	1	7	1
2	3	4	2	1	5	1	2	0	3	1	7	1
2	1	4	4	5	5	3	4	2	1	1	7	1
2	1	3	4	5	2	3	4	2	1	2	7	1
1	5	1	2	4	5	1	5	3	3	1	7	1
2	1	5	3	5	4.631578947368421	3	3	1	1	1	7	1
2	1	6	3	8	4.615384615384615	3	2.1184210526315788	0	2	3	7	3
2	5	3	5	1	5	1	4	0	2	1	3	3
